Game,Home,Away
110,Coritiba / PR,Palmeiras / SP
111,América / MG,Fluminense / RJ
112,Flamengo / RJ,Cuiabá / MT
113,Red Bull Red Bull Bragantino / SP,Coritiba / PR
114,Palmeiras / SP,Atlético / GO
115,Botafogo / RJ,São Paulo / SP
116,Juventude / RS,Santos / SP
117,Ceará / CE,Atlético Mineiro / MG
118,Goiás / GO,Internacional / RS
119,Avaí / SC,Fortaleza / CE
120,Athletico Paranaense / PR,Corinthians / SP
121,Atlético Mineiro / MG,Flamengo / RJ
122,Fluminense / RJ,Avaí / SC
123,São Paulo / SP,Palmeiras / SP
124,Corinthians / SP,Goiás / GO
125,Santos / SP,Red Bull Red Bull Bragantino / SP
126,Internacional / RS,Botafogo / RJ
127,Fortaleza / CE,América / MG
128,Atlético / GO,Juventude / RS
129,Cuiabá / MT,Ceará / CE
130,Coritiba / PR,Athletico Paranaense / PR
131,Atlético Mineiro / MG,Fortaleza / CE
132,Flamengo / RJ,América / MG
133,São Paulo / SP,Juventude / RS
134,Corinthians / SP,Santos / SP
135,Botafogo / RJ,Fluminense / RJ
136,Internacional / RS,Coritiba / PR
137,Ceará / CE,Atlético / GO
138,Goiás / GO,Cuiabá / MT
139,Avaí / SC,Palmeiras / SP
140,Athletico Paranaense / PR,Red Bull Red Bull Bragantino / SP
141,América / MG,Goiás / GO
142,Fluminense / RJ,Corinthians / SP
143,Red Bull Red Bull Bragantino / SP,Botafogo / RJ
144,Palmeiras / SP,Athletico Paranaense / PR
145,Santos / SP,Flamengo / RJ
146,Juventude / RS,Atlético Mineiro / MG
147,Ceará / CE,Internacional / RS
148,Atlético / GO,São Paulo / SP
149,Avaí / SC,Cuiabá / MT
150,Coritiba / PR,Fortaleza / CE
151,Atlético Mineiro / MG,São Paulo / SP
152,Fluminense / RJ,Ceará / CE
153,Red Bull Red Bull Bragantino / SP,Avaí / SC
154,Corinthians / SP,Flamengo / RJ
155,Santos / SP,Atlético / GO
156,Internacional / RS,América / MG
157,Fortaleza / CE,Palmeiras / SP
158,Goiás / GO,Athletico Paranaense / PR
159,Cuiabá / MT,Botafogo / RJ
160,Coritiba / PR,Juventude / RS
161,América / MG,Red Bull Red Bull Bragantino / SP
162,Flamengo / RJ,Coritiba / PR
163,São Paulo / SP,Fluminense / RJ
164,Palmeiras / SP,Cuiabá / MT
165,Botafogo / RJ,Atlético Mineiro / MG
166,Juventude / RS,Goiás / GO
167,Ceará / CE,Corinthians / SP
168,Atlético / GO,Fortaleza / CE
169,Avaí / SC,Santos / SP
170,Athletico Paranaense / PR,Internacional / RS
171,América / MG,Palmeiras / SP
172,Flamengo / RJ,Juventude / RS
173,Red Bull Red Bull Bragantino / SP,Fortaleza / CE
174,Corinthians / SP,Coritiba / PR
175,Santos / SP,Botafogo / RJ
176,Internacional / RS,São Paulo / SP
177,Ceará / CE,Avaí / SC
178,Goiás / GO,Fluminense / RJ
179,Cuiabá / MT,Atlético Mineiro / MG
180,Athletico Paranaense / PR,Atlético / GO
181,Atlético Mineiro / MG,Corinthians / SP
182,Fluminense / RJ,Red Bull Red Bull Bragantino / SP
183,São Paulo / SP,Goiás / GO
184,Palmeiras / SP,Internacional / RS
185,Botafogo / RJ,Athletico Paranaense / PR
186,Juventude / RS,Ceará / CE
187,Fortaleza / CE,Santos / SP
188,Atlético / GO,América / MG
189,Avaí / SC,Flamengo / RJ
190,Coritiba / PR,Cuiabá / MT
191,América / MG,Avaí / SC
192,Flamengo / RJ,Atlético / GO
193,Red Bull Red Bull Bragantino / SP,Juventude / RS
194,Corinthians / SP,Botafogo / RJ
195,Santos / SP,Fluminense / RJ
196,Internacional / RS,Atlético Mineiro / MG
197,Ceará / CE,Palmeiras / SP
198,Goiás / GO,Coritiba / PR
199,Cuiabá / MT,Fortaleza / CE
200,Athletico Paranaense / PR,São Paulo / SP
201,Atlético Mineiro / MG,Athletico Paranaense / PR
202,Fluminense / RJ,Cuiabá / MT
203,São Paulo / SP,Flamengo / RJ
204,Palmeiras / SP,Goiás / GO
205,Botafogo / RJ,Ceará / CE
206,Juventude / RS,América / MG
207,Fortaleza / CE,Internacional / RS
208,Atlético / GO,Red Bull Red Bull Bragantino / SP
209,Avaí / SC,Corinthians / SP
210,Coritiba / PR,Santos / SP
211,América / MG,Santos / SP
212,Flamengo / RJ,Athletico Paranaense / PR
213,São Paulo / SP,Red Bull Red Bull Bragantino / SP
214,Corinthians / SP,Palmeiras / SP
215,Botafogo / RJ,Atlético / GO
216,Internacional / RS,Fluminense / RJ
